experiment_type,heldout_site,model,featuregroup,hyperparameter_tuning,top5_features,trainset_size,testset_size,train_accuracy,test_accuracy,precision,recall,f1 score,actual_mins_GENON,predicted_mins_GENON,Percentage generator on-time detection error
modified loso,Walikale,LogisticRegression,Voltage and Frequency Only,True,"volt_b, freq_b, volt_a, freq_a",85680,8064,0.8361111111111111,0.8795882936507936,0.0,0.0,0.0,964,7,-99.27385892116183
modified loso,Walikale,RandomForest_tuned,Voltage and Frequency Only,True,"volt_b, freq_b, freq_a, volt_a",85680,8064,0.983391690009337,0.8696676587301587,0.4370477568740955,0.3132780082987552,0.3649546827794562,964,691,-28.319502074688796
modified loso,Walikale,XGBoost_tuned,Voltage and Frequency Only,True,"freq_b, volt_b, freq_a, volt_a",85680,8064,0.985749299719888,0.9475446428571429,0.9753954305799648,0.5757261410788381,0.7240704500978473,964,569,-40.975103734439834
modified loso,Walikale,LogisticRegression,"Voltage, Frequency and Mean Threshold",True,"volt_b, higher_freq_clinique, higher_volt_clinique, higher_freq_lab, freq_a",85680,8064,0.8784313725490196,0.8870287698412699,0.8533333333333334,0.06639004149377593,0.12319538017324351,964,75,-92.21991701244814
modified loso,Walikale,RandomForest_tuned,"Voltage, Frequency and Mean Threshold",True,"volt_b, freq_b, freq_a, volt_a, higher_volt_lab",85680,8064,0.9822012138188608,0.8692956349206349,0.43478260869565216,0.3112033195020747,0.36275695284159615,964,690,-28.42323651452282
modified loso,Walikale,XGBoost_tuned,"Voltage, Frequency and Mean Threshold",True,"freq_b, volt_b, freq_a, volt_a, higher_freq_lab",85680,8064,0.9860410830999067,0.9357638888888888,0.9704641350210971,0.47717842323651455,0.6397774687065368,964,474,-50.829875518672196
modified loso,Walikale,LogisticRegression,"Voltage, Frequency, Mean Threshold and Time Series",True,"volt_b, Prev_High_delta_freq_lab, freq_in_range_clinique, Prev_High_delta_freq_clinique, volt_in_range_clinique",85680,8064,0.9251750700280112,0.4460565476190476,0.04565499351491569,0.1825726141078838,0.07304420004150239,964,3855,299.896265560166
modified loso,Walikale,RandomForest_tuned,"Voltage, Frequency, Mean Threshold and Time Series",True,"volt_b, freq_b, freq_a, volt_a, Freq_delta_lab",85680,8064,0.9985527544351074,0.6086309523809523,0.1394736842105263,0.43983402489626555,0.21178821178821178,964,3040,215.35269709543567
modified loso,Walikale,XGBoost_tuned,"Voltage, Frequency, Mean Threshold and Time Series",True,"freq_b, volt_b, Hour_4, Hour_1, Hour_0",85680,8064,0.9995798319327731,0.7919146825396826,0.3027624309392265,0.5684647302904564,0.39509733237202593,964,1810,87.75933609958506
modified loso,Walikale,LogisticRegression,"Voltage, Frequency, Mean threshold, TS and HMM",True,"Prev_High_delta_freq_lab, volt_b, HMM_State_volt_b_1, volt_a, Prev_High_delta_freq_clinique",85680,8064,0.9305205415499533,0.6108630952380952,0.20055096418732782,0.7551867219917012,0.3169351327818894,964,3630,276.5560165975104
modified loso,Walikale,RandomForest_tuned,"Voltage, Frequency, Mean threshold, TS and HMM",True,"volt_b, freq_b, freq_a, volt_a, Freq_delta_lab",85680,8064,0.9987511671335201,0.7302827380952381,0.21070234113712374,0.4574688796680498,0.2885181550539745,964,2093,117.11618257261411
modified loso,Walikale,XGBoost_tuned,"Voltage, Frequency, Mean threshold, TS and HMM",True,"freq_b, volt_b, HMM_State_volt_b_3, Hour_4, Hour_3",85680,8064,0.9998015873015873,0.6276041666666666,0.17970468111844173,0.5933609958506224,0.27586206896551724,964,3183,230.18672199170123
modified loso,Katwa,LogisticRegression,Voltage and Frequency Only,True,"volt_b, freq_b, volt_a, freq_a",85680,8064,0.8490546218487395,0.8914930555555556,0.25,0.0034522439585730723,0.00681044267877412,869,12,-98.61910241657077
