experiment_type,heldout_site,model,featuregroup,hyperparameter_tuning,top5_features,trainset_size,testset_size,train_accuracy,test_accuracy,precision,recall,f1 score,actual_mins_GENON,predicted_mins_GENON,Percentage generator on-time detection error
modified loso,Walikale,LogisticRegression,"Voltage, Frequency",False,"volt_b, freq_b, volt_a, freq_a",85680,8064,0.8361111111111111,0.8795882936507936,0.0,0.0,0.0,964,7,-99.27385892116183
modified loso,Walikale,RandomForest,"Voltage, Frequency",False,"volt_b, freq_b, freq_a, volt_a",85680,8064,0.9941643323996265,0.9146825396825397,0.956953642384106,0.29979253112033194,0.4565560821484992,964,302,-68.67219917012449
modified loso,Walikale,XGBoost,"Voltage, Frequency",False,"freq_b, volt_b, freq_a, volt_a",85680,8064,0.9838235294117647,0.9094742063492064,0.9431818181818182,0.258298755186722,0.40553745928338764,964,264,-72.61410788381743
modified loso,Walikale,LogisticRegression,"Voltage, Frequency, Mean Threshold",False,"volt_b, higher_freq_clinique, higher_volt_clinique, higher_freq_lab, freq_a",85680,8064,0.8784313725490196,0.8870287698412699,0.8533333333333334,0.06639004149377593,0.12319538017324351,964,75,-92.21991701244814
modified loso,Walikale,RandomForest,"Voltage, Frequency, Mean Threshold",False,"volt_b, freq_b, freq_a, volt_a, higher_volt_lab",85680,8064,0.9941643323996265,0.9093501984126984,0.946360153256705,0.25622406639004147,0.403265306122449,964,261,-72.9253112033195
modified loso,Walikale,XGBoost,"Voltage, Frequency, Mean Threshold",False,"freq_b, volt_b, freq_a, volt_a, higher_freq_clinique",85680,8064,0.9837418300653594,0.9124503968253969,0.9574468085106383,0.2800829875518672,0.4333868378812199,964,282,-70.74688796680498
modified loso,Walikale,LogisticRegression,"Voltage, Frequency, Mean Threshold, Time Series",False,"volt_b, Prev_High_delta_freq_lab, freq_in_range_clinique, Prev_High_delta_freq_clinique, volt_in_range_clinique",85680,8064,0.9251750700280112,0.4460565476190476,0.04565499351491569,0.1825726141078838,0.07304420004150239,964,3855,299.896265560166
modified loso,Walikale,RandomForest,"Voltage, Frequency, Mean Threshold, Time Series",False,"volt_b, freq_b, freq_a, volt_a, Freq_delta_lab",85680,8064,1.0,0.8194444444444444,0.3113496932515337,0.4211618257261411,0.35802469135802467,964,1304,35.26970954356847
modified loso,Walikale,XGBoost,"Voltage, Frequency, Mean Threshold, Time Series",False,"freq_b, volt_b, freq_a, Hour_3, Hour_22",85680,8064,0.9947362278244631,0.8266369047619048,0.35723684210526313,0.5632780082987552,0.43719806763285024,964,1520,57.67634854771784
modified loso,Walikale,LogisticRegression,"Voltage, Frequency, Mean Threshold, Time Series, HMM",False,"Prev_High_delta_freq_lab, volt_b, HMM_State_volt_b_1, volt_a, Prev_High_delta_freq_clinique",85680,8064,0.9305205415499533,0.6108630952380952,0.20055096418732782,0.7551867219917012,0.3169351327818894,964,3630,276.5560165975104
modified loso,Walikale,RandomForest,"Voltage, Frequency, Mean Threshold, Time Series, HMM",False,"volt_b, freq_b, freq_a, volt_a, HMM_State_freq_b_4",85680,8064,1.0,0.7399553571428571,0.21604010025062656,0.4470954356846473,0.29131463332206825,964,1995,106.95020746887967
modified loso,Walikale,XGBoost,"Voltage, Frequency, Mean Threshold, Time Series, HMM",False,"freq_b, volt_b, HMM_State_volt_b_3, freq_a, HMM_State_freq_b_0",85680,8064,0.9952380952380953,0.6003224206349206,0.16172506738544473,0.5601659751037344,0.2509876830118522,964,3339,246.36929460580913
modified loso,Katwa,LogisticRegression,"Voltage, Frequency",False,"volt_b, freq_b, volt_a, freq_a",85680,8064,0.8490546218487395,0.8914930555555556,0.25,0.0034522439585730723,0.00681044267877412,869,12,-98.61910241657077
modified loso,Katwa,RandomForest,"Voltage, Frequency",False,"volt_b, freq_a, freq_b, volt_a",85680,8064,0.9965802987861812,0.9053819444444444,0.8955223880597015,0.1380897583429229,0.23928215353938184,869,134,-84.57997698504028
modified loso,Katwa,XGBoost,"Voltage, Frequency",False,"volt_b, freq_a, freq_b, volt_a",85680,8064,0.9926937441643324,0.9087301587301587,0.844559585492228,0.18757192174913695,0.3069679849340866,869,193,-77.79056386651324
modified loso,Katwa,LogisticRegression,"Voltage, Frequency, Mean Threshold",False,"volt_b, higher_volt_clinique, higher_volt_lab, freq_a, higher_freq_lab",85680,8064,0.85359477124183,0.875,0.10734463276836158,0.02186421173762946,0.036328871892925434,869,177,-79.63176064441888
modified loso,Katwa,RandomForest,"Voltage, Frequency, Mean Threshold",False,"volt_b, freq_b, freq_a, volt_a, higher_volt_lab",85680,8064,0.9965802987861812,0.9086061507936508,0.8928571428571429,0.17261219792865362,0.2892960462873674,869,168,-80.66743383199079
modified loso,Katwa,XGBoost,"Voltage, Frequency, Mean Threshold",False,"volt_b, freq_a, freq_b, volt_a, higher_freq_clinique",85680,8064,0.9926237161531279,0.9076140873015873,0.8444444444444444,0.17491369390103567,0.2897998093422307,869,180,-79.28653624856156
