experiment_type,heldout_site,model,featuregroup,hyperparameter_tuning,top5_features,trainset_size,testset_size,train_accuracy,test_accuracy,precision,recall,f1 score,actual_mins_GENON,predicted_mins_GENON,Percentage generator on-time detection error
modified loso,Walikale,LogisticRegression,Voltage and Frequency Only,True,"volt_b, freq_b, volt_a, freq_a",85680,8064,0.8361111111111111,0.8795882936507936,0.0,0.0,0.0,964,7,-99.27385892116183
modified loso,Walikale,RandomForest_tuned,Voltage and Frequency Only,True,"volt_b, freq_b, freq_a, volt_a",85680,8064,0.983391690009337,0.8696676587301587,0.4370477568740955,0.3132780082987552,0.3649546827794562,964,691,-28.319502074688796
modified loso,Walikale,XGBoost_tuned,Voltage and Frequency Only,True,"freq_b, volt_b, freq_a, volt_a",85680,8064,0.9848972922502335,0.9157986111111112,0.9552715654952076,0.31016597510373445,0.4682850430696946,964,313,-67.5311203319502
modified loso,Walikale,LogisticRegression,"Voltage, Frequency and Mean Threshold",True,"volt_b, higher_freq_clinique, higher_volt_clinique, higher_freq_lab, freq_a",85680,8064,0.8784313725490196,0.8870287698412699,0.8533333333333334,0.06639004149377593,0.12319538017324351,964,75,-92.21991701244814
modified loso,Walikale,RandomForest_tuned,"Voltage, Frequency and Mean Threshold",True,"volt_b, freq_b, freq_a, volt_a, higher_volt_lab",85680,8064,0.9822012138188608,0.8692956349206349,0.43478260869565216,0.3112033195020747,0.36275695284159615,964,690,-28.42323651452282
modified loso,Walikale,XGBoost_tuned,"Voltage, Frequency and Mean Threshold",True,"volt_b, freq_b, freq_a, higher_volt_lab, volt_a",85680,8064,0.984920634920635,0.9480406746031746,0.9755671902268761,0.5798755186721992,0.7273910214703969,964,573,-40.560165975103736
modified loso,Walikale,LogisticRegression,"Voltage, Frequency, Mean Threshold and Time Series",True,"volt_b, Prev_High_delta_freq_lab, freq_in_range_clinique, Prev_High_delta_freq_clinique, volt_in_range_clinique",85680,8064,0.9251750700280112,0.4460565476190476,0.04565499351491569,0.1825726141078838,0.07304420004150239,964,3855,299.896265560166
modified loso,Walikale,RandomForest_tuned,"Voltage, Frequency, Mean Threshold and Time Series",True,"volt_b, freq_b, freq_a, volt_a, Freq_delta_lab",85680,8064,0.9985527544351074,0.6086309523809523,0.1394736842105263,0.43983402489626555,0.21178821178821178,964,3040,215.35269709543567
modified loso,Walikale,XGBoost_tuned,"Voltage, Frequency, Mean Threshold and Time Series",True,"volt_in_range_lab, freq_b, volt_b, Hour_4, freq_a",85680,8064,0.9984126984126984,0.7847222222222222,0.2911255411255411,0.558091286307054,0.38264580369843526,964,1848,91.70124481327801
modified loso,Walikale,LogisticRegression,"Voltage, Frequency, Mean threshold, TS and HMM",True,"Prev_High_delta_freq_lab, volt_b, HMM_State_volt_b_1, volt_a, Prev_High_delta_freq_clinique",85680,8064,0.9305205415499533,0.6108630952380952,0.20055096418732782,0.7551867219917012,0.3169351327818894,964,3630,276.5560165975104
modified loso,Walikale,RandomForest_tuned,"Voltage, Frequency, Mean threshold, TS and HMM",True,"volt_b, freq_b, freq_a, volt_a, Freq_delta_lab",85680,8064,0.9987511671335201,0.7302827380952381,0.21070234113712374,0.4574688796680498,0.2885181550539745,964,2093,117.11618257261411
modified loso,Walikale,XGBoost_tuned,"Voltage, Frequency, Mean threshold, TS and HMM",True,"freq_b, volt_b, HMM_State_volt_b_3, HMM_State_freq_b_0, Hour_4",85680,8064,0.9985294117647059,0.7006448412698413,0.21855590062111802,0.5840248962655602,0.31807909604519774,964,2576,167.21991701244812
modified loso,Katwa,LogisticRegression,Voltage and Frequency Only,True,"volt_b, freq_b, volt_a, freq_a",85680,8064,0.8490546218487395,0.8914930555555556,0.25,0.0034522439585730723,0.00681044267877412,869,12,-98.61910241657077
