facility,model,featuregroup,top5_features,trainset,testset,trainacc,testacc,precision,recall,f1 score,actual_mins_GENON,predicted_mins_GENON,Percentage generator on-time detection error
Ndosho,LogisticRegression,Voltage and Frequency Only,"Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique), Voltage 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire), Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique), Frequency 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)",27216,18144,0.9616402116402116,0.9664902998236331,0.9426710097719869,0.8701142513529766,0.9049405878674172,3326,3070,-7.696933253156946
Ndosho,RandomForest,Voltage and Frequency Only,"Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique), Voltage 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire), Frequency 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire), Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)",27216,18144,0.9971340388007055,0.9643408289241623,0.9478435305917753,0.8523752254960913,0.8975779642235239,3326,2991,-10.072158749248347
Ndosho,XGBoost,Voltage and Frequency Only,"Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique), Frequency 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire), Voltage 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire), Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)",27216,18144,0.9930922986478542,0.9654431216931217,0.9517910947438902,0.854780517137703,0.9006811341675907,3326,2987,-10.192423331328923
Ndosho,XGBoost-tuned,Voltage and Frequency Only,"Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique), Voltage 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire), Frequency 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire), Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique)",27216,18144,0.98831569664903,0.9719466490299824,0.96996996996997,0.8740228502705953,0.9195002372291634,3326,2997,-9.89176187612748
Ndosho,LogisticRegression,"Voltage, Frequency and Mean Threshold","higher_freq_clinique, higher_volt_lab, Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique), higher_freq_lab, Voltage 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)",27216,18144,0.9615667254556144,0.9660493827160493,0.940793754066363,0.8695129284425737,0.90375,3326,3074,-7.576668671076368
Ndosho,RandomForest,"Voltage, Frequency and Mean Threshold","Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique), Voltage 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire), Frequency 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire), Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique), higher_volt_lab",27216,18144,0.9971340388007055,0.9662698412698413,0.953542780748663,0.8577871316897174,0.9031339031339032,3326,2992,-10.042092603728202
Ndosho,XGBoost,"Voltage, Frequency and Mean Threshold","Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique), Frequency 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire), Voltage 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire), Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique), higher_volt_clinique",27216,18144,0.9930922986478542,0.9654431216931217,0.9517910947438902,0.854780517137703,0.9006811341675907,3326,2987,-10.192423331328923
Ndosho,XGBoost-tuned,"Voltage, Frequency and Mean Threshold","higher_volt_clinique, Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique), higher_volt_lab, Voltage 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire), Frequency 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire)",27216,18144,0.9879482657260436,0.9711199294532628,0.9679358717434869,0.8713168971737824,0.9170886075949367,3326,2994,-9.981960312687914
Ndosho,LogisticRegression,"Voltage, Frequency, Mean Threshold and Time Series","higher_volt_lab, higher_volt_clinique, Hour_1, Hour_2, Hour_0",27216,18144,0.9749779541446209,0.9693562610229277,0.9852838121934128,0.8454600120264583,0.9100323624595469,3326,2854,-14.191220685508117
Ndosho,RandomForest,"Voltage, Frequency, Mean Threshold and Time Series","Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique), Voltage 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire), Frequency 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire), Frequency C30F2E03 (Ch Cbca Bethesda Ndosho - clinique), higher_volt_lab",27216,18144,1.0,0.9930555555555556,0.9968944099378882,0.9651232711966325,0.9807516040329972,3326,3220,-3.1870114251352977
Ndosho,XGBoost,"Voltage, Frequency, Mean Threshold and Time Series","Voltage C30F2E03 (Ch Cbca Bethesda Ndosho - clinique), Frequency 3E2F4FD3 (Ch Cbca Bethesda Ndosho - laboratoire), Hour_4, Hour_3, Hour_12",27216,18144,1.0,0.9910714285714286,0.9940662086196127,0.9570054119061936,0.9751838235294118,3326,3202,-3.728202044497895
